4054561243251813120 263.85378120  -32.80856345   1.0025   0.1397   2.4092   0.1782  -1.3219   0.1317  17.8106  18.9278  16.7323  15.0440  13.7940  12.9580  0.8242  0.5295  0.9793  0.5186 0  0.4697  1.3439   7.1487
4054562720722827392 263.85880653  -32.79884205   0.9337   0.4960   2.5583   0.6430  -1.3830   0.4707  19.4458  21.7942  18.1130      ...      ...      ...  0.5669  0.6032  0.9793  0.5907 0  0.6674  1.4999   6.7560
4054564507427102208 263.79573946  -32.76703252   0.9476   0.0605   2.6333   0.0638  -1.8837   0.0442  16.1190  17.0497  15.1595  13.7400  12.9990  12.7460  1.0000  0.8598  0.9793  0.8420 1  0.8625  1.4500   6.5935
4054565473813503488 263.72256968  -32.74881354   0.8573   0.0412   2.5275   0.0470  -1.8922   0.0346  15.5973  16.3396  14.7471  13.5450  12.8850  12.6780  1.0000  0.8405  0.9793  0.8231 1  0.3457  1.8155   6.5887
4054565572579111296 263.76879793  -32.72822400   0.8316   0.1653   2.7309   0.1555  -1.6209   0.1176  17.9464  19.1671  16.8589  15.3220  14.4140  14.2600  0.8750  0.8971  0.9793  0.8785 1  0.6793  1.9127   7.2067
4054565576892701312 263.77393489  -32.72871574   0.8170   0.0600   2.5448   0.0608  -1.8164   0.0458  16.3432  17.2035  15.4154  14.0820  13.2670  12.1480  1.0000  1.0000  0.9793  0.9793 1  0.0950  1.9662   6.7044
4054565851770494464 263.88638787  -32.74940643   0.8370   0.1322   2.7573   0.1605  -1.9336   0.1245  17.7425  19.3099  16.5491  14.8550  13.1210  12.4450  0.9854  0.6197  0.9793  0.6069 1  0.8185  1.8906   6.9512
4054565886130248576 263.85944829  -32.75652272   0.8557   0.0553   2.6872   0.0650  -1.8621   0.0491  16.3392  17.2196  15.3795  13.9910  13.3770  13.0900  1.0000  0.8569  0.9793  0.8392 1  0.2655  1.8193   7.0278
4054565984895892096 263.83215597  -32.75528252   0.9480   0.1235   2.7470   0.1355  -1.4735   0.1032  17.4501  18.9842  16.2496      ...      ...      ...  0.9995  0.6524  0.9793  0.6389 1  0.9039  1.4484   6.8415
4054567221846666624 263.81031755  -32.68174801   0.9175   0.1188   2.6724   0.1205  -1.8380   0.0930  17.4452  18.8312  16.2951  14.6040  13.9190  13.1650  0.9678  0.8747  1.0000  0.8747 1  0.6802  1.5636   6.6979
4054567805963940352 263.83542859  -32.63625908   0.8973   0.1682   2.6245   0.1918  -1.5996   0.1407  18.2163  19.9828  16.9596  14.9720  14.0540  13.7130  0.7773  0.9401  0.9897  0.9304 1  0.9763  1.6496   6.7798
4054568497464652672 264.06113534  -32.73397905   0.7805   0.8383   2.3527   1.6596  -1.9222   1.0554  20.4249  21.9482  19.5123      ...      ...      ...  0.8687  0.6479  0.9793  0.6345 1  0.5054  2.0733   6.6741
4054569287744312192 263.96175257  -32.70699736   0.9182   0.0807   2.4633   0.0989  -1.6711   0.0727  17.1656  18.3404  16.1051  14.2230  12.8680  11.5000  1.0000  0.8966  0.9793  0.8780 1  0.7703  1.5586   6.5674
4054573651425669888 263.87096439  -32.62238749   0.9383   0.9806   2.3788   0.9793  -1.3534   0.6711  20.4178  21.3250  19.3206      ...      ...      ...  0.9873  0.5242  0.9793  0.5133 0  0.0578  1.4848   6.8417
4054573891935068032 263.88904304  -32.58465073   0.7744   0.3988   2.8838   0.4663  -1.6786   0.3295  19.2372  20.4650  18.1271      ...      ...      ...  0.6519  0.5684  0.9793  0.5567 0  0.6036  2.0955   6.3603
4054574368675341696 263.94642296  -32.54377520   0.8511   0.1649   2.7523   0.1880  -1.6115   0.1367  18.2077  19.4716  17.0683  15.1940  12.3350  11.2840  0.9780  0.7985  0.9793  0.7820 1  0.3190  1.8385   6.6721
4054576636418774400 264.02253478  -32.44515665   0.9502   0.2455   2.2738   0.2771  -1.7683   0.1998  18.9601  20.2711  17.8680      ...      ...      ...  0.6851  0.7002  0.9793  0.6857 1  0.5781  1.4404   6.6664
4054577980749981824 263.29775706  -33.06348948   0.8798   0.0830   2.5287   0.0945  -1.8452   0.0664  17.1736  18.2000  16.1331      ...      ...      ...  0.9990  0.9258  0.9862  0.9130 1  0.6506  1.7305   6.9509
4054580866977646976 263.37165861  -32.93200057   0.7916   0.0203   2.5559   0.0238  -1.4124   0.0177  12.7776  13.1845  12.1849  11.4410  11.1550  11.0260  1.0000  0.6604  0.9793  0.6468 1  0.0000  2.0497   6.7513
4054581549858923136 263.22171816  -33.00093387   0.9572   0.2510   2.4932   0.2901  -1.5481   0.2052  18.5074  20.5562  17.1687  14.4160  13.3310  12.9650  0.9902  0.8838  0.9793  0.8655 1  0.9214  1.4213   6.2353
4054582477571161856 263.17272277  -32.97287548   0.9880   0.2040   2.5594   0.3063  -1.7161   0.2004  18.5557  20.2431  17.2831  15.1930  11.9940  11.0120  0.8623  0.9831  1.0000  0.9831 1  0.6089  1.3242   6.6250
4054582889886408064 263.26599238  -32.93889333   0.8994   0.0193   2.6583   0.0240  -1.7943   0.0173  13.8902  14.3623  13.2417  12.3460  12.0850  12.0060  1.0000  0.9831  1.0000  0.9831 1  0.0009  1.6439   6.6066
4054582962921717760 263.25559352  -32.91414997   0.8943   0.0180   2.6956   0.0222  -1.9675   0.0153  13.5282  13.8146  13.0734  12.4290  12.2750  12.2260  1.0000  0.6371  0.9793  0.6239 1  0.0000  1.6657   6.4032
4054583375229194240 263.32162015  -32.93746902   0.8787   0.7074   2.5456   0.6845  -1.8889   0.4544  19.9761  21.5075  18.6244      ...      ...      ...  0.8691  0.8530  0.9793  0.8354 1  0.4894  1.7350   6.6232
4054584504801855232 263.29152533  -32.89942264   0.9977   0.0540   2.6530   0.0635  -1.7845   0.0442  16.1718  16.8890  15.2510      ...      ...      ...  1.0000  0.9906  0.9862  0.9770 1  0.2950  1.2945   7.3235
4054585093210326272 263.35226356  -32.84012408   0.8796   0.3672   2.3963   0.4381  -1.5758   0.2769  19.0479  20.7984  17.8209      ...      ...      ...  0.7959  0.8418  0.9793  0.8244 1  0.8266  1.7314   6.6733
4054585329435607296 263.32679281  -32.82984383   0.7825   1.4892   2.8662   2.0152  -1.8258   1.2232  20.5801  21.0970  19.0104  15.1620  13.8930  12.1820  0.6460  0.5541  0.9793  0.5427 0  0.4697  1.3439   7.1487
4054585471182266112 263.49929020  -32.96975319   0.9721   0.0534   2.1095   0.0543  -1.6091   0.0414  16.1657  16.8149  15.3688  14.2040  13.6880  13.5830  1.0000  0.5804  0.9793  0.5684 0  0.0268  1.3660   7.0200
